"Regulon"	"Size"	"NES"	"p.value"	"FDR"	"Synergy"	"Ledge"
"KLF6"	"KLF6"	49	-1.11	0.266	0.678	NA	"RGS1, PYGO2, CTGF, MAFF, + 29 genes"
"GATA6"	"GATA6"	60	-1.11	0.266	0.678	NA	"MAFF, WSB2, CLPB, ZDHHC8P1, + 15 genes"
"RCOR1"	"RCOR1"	93	-1.11	0.265	0.678	NA	"ZDHHC13, BOLA1, TMOD3, MANBAL, + 64 genes"
"ZNF430"	"ZNF430"	282	-1.12	0.263	0.675	NA	"FLNA, MAP2, PPIF, PLXNA2, + 168 genes"
"SMAD7"	"SMAD7"	45	-1.12	0.262	0.675	NA	"ZNF622, FTH1P23, RUSC2, FTH1P11, + 15 genes"
"NFIA"	"NFIA"	119	-1.13	0.259	0.67	NA	"GGA3, RCC1, TSHR, HACD1, + 41 genes"
"ZNF469"	"ZNF469"	80	-1.13	0.257	0.67	NA	"COL6A1, MARVELD1, CPLANE2, IL21R, + 25 genes"
"TCF7"	"TCF7"	63	-1.14	0.255	0.667	NA	"PAPLN, FHOD3, JAK3, ATG4A, + 27 genes"
"ARID4B"	"ARID4B"	46	-1.14	0.255	0.667	NA	"MRPS18A, NDUFA9, ORAI1, CIAPIN1, + 35 genes"
"ZNF410"	"ZNF410"	34	-1.14	0.255	0.667	NA	"NT5C2, PHC1, RTL8B, HBP1, + 24 genes"
"ZNF273"	"ZNF273"	39	-1.14	0.255	0.667	NA	"FAM184A, NAGA, FTH1P2, SNURF, + 20 genes"
"ZNF41"	"ZNF41"	136	-1.14	0.254	0.667	NA	"GTF2I, TMEM150A, PIK3C2A, FKBP8, + 97 genes"
"TCFL5"	"TCFL5"	103	-1.15	0.249	0.667	NA	"PTCD2, PRKAG2, VEPH1, LAMB3, + 55 genes"
"VEZF1"	"VEZF1"	54	-1.16	0.247	0.662	NA	"RNF169, FASTK, TOP2B, UBQLN1, + 37 genes"
"NFKB1"	"NFKB1"	75	-1.16	0.245	0.661	NA	"NAA60, ITGA4, WDR83, TMEM161B-AS1, + 47 genes"
"ZNF507"	"ZNF507"	26	-1.16	0.245	0.661	NA	"AP1M1, SPAG4, TLNRD1, MLLT10, + 20 genes"
"MIS18BP1"	"MIS18BP1"	87	-1.17	0.243	0.661	NA	"ZNF561-AS1, FKBP2, AAMDC, KIAA1551, + 40 genes"
"ZBTB39"	"ZBTB39"	26	-1.17	0.241	0.656	NA	"ZNF597, TRRAP, ZNF623, ZKSCAN4, + 16 genes"
"PRDM15"	"PRDM15"	92	-1.17	0.24	0.656	NA	"STAT2, DYRK2, NCAPD2, SH3BP2, + 49 genes"
"ZNF776"	"ZNF776"	32	-1.18	0.238	0.655	NA	"COIL, WDR33, RFX3, ATP6V1E1, + 21 genes"
"ZNF189"	"ZNF189"	37	-1.18	0.236	0.652	NA	"SCO2, SCAMP3, RPGR, NME2, + 23 genes"
"ZNF618"	"ZNF618"	59	-1.19	0.235	0.652	NA	"ARHGAP31, ZNF436, ITGA1, ETHE1, + 34 genes"
"ARID1B"	"ARID1B"	67	-1.19	0.232	0.647	NA	"LRRC37A17P, CBFA2T2, RPL7A, RACK1, + 49 genes"
"ZNF229"	"ZNF229"	57	-1.2	0.231	0.647	NA	"DCPS, PARVB, BTRC, WWC2, + 41 genes"
"TADA2A"	"TADA2A"	83	-1.2	0.23	0.647	NA	"DHODH, FAM200A, LINC00982, FAM216A, + 43 genes"
"GZF1"	"GZF1"	329	-1.2	0.229	0.647	NA	"FSTL3, PAICS, RTN2, PEA15, + 180 genes"
"SP1"	"SP1"	58	-1.21	0.227	0.647	NA	"MRPL20, SIVA1, ZNF532, SMARCC1, + 40 genes"
"ZFP14"	"ZFP14"	40	-1.21	0.226	0.647	NA	"LRIG2, PSMD7, ZNF610, ZNF772, + 25 genes"
"ZNF737"	"ZNF737"	61	-1.22	0.224	0.647	NA	"UNC93B1, LCMT1, HSD3B7, PTCD2, + 42 genes"
"ZSCAN5A"	"ZSCAN5A"	73	-1.22	0.223	0.647	NA	"TBILA, LMAN2L, TANC2, LINC00982, + 40 genes"
"PPARA"	"PPARA"	80	-1.22	0.223	0.647	NA	"NCOA4, ST13, POLDIP3, FNBP1L, + 52 genes"
"ZNF429"	"ZNF429"	30	-1.22	0.223	0.647	NA	"ZNF280B, MLH3, TCIRG1, CKLF, + 17 genes"
"IRF8"	"IRF8"	73	-1.23	0.22	0.645	NA	"KEL, PLCG2, GPNMB, DSE, + 41 genes"
"CREB3L2"	"CREB3L2"	183	-1.23	0.22	0.645	NA	"PGK1, ARL6IP4, TES, COPB2, + 124 genes"
"KLF13"	"KLF13"	87	-1.23	0.22	0.645	NA	"MIEF1, TRAPPC2, MAST1, NT5DC2, + 49 genes"
"ZNF641"	"ZNF641"	76	-1.23	0.219	0.645	NA	"ZBTB2, ZBTB40, USP49, VPS72, + 41 genes"
"HLF"	"HLF"	80	-1.23	0.218	0.645	NA	"TECTA, FSTL3, TRPC6, ZNF438, + 27 genes"
"ZNF460"	"ZNF460"	65	-1.24	0.214	0.645	NA	"POLR1C, GNA13, PTENP1, SEC24A, + 45 genes"
"ELMSAN1"	"ELMSAN1"	51	-1.24	0.214	0.645	NA	"ZNF264, CCNQ, UFC1, PER2, + 25 genes"
"ZNF699"	"ZNF699"	156	-1.24	0.213	0.645	NA	"TSTD2, PBDC1, ATP5MF, NDUFB4, + 117 genes"
"NR2C1"	"NR2C1"	33	-1.25	0.211	0.645	NA	"SLC25A27, PCMT1, SNAP47, PHKA2, + 20 genes"
"ZNF853"	"ZNF853"	102	-1.25	0.211	0.645	NA	"RPS6KA3, VAV2, ZNF207, ZNF544, + 49 genes"
"ZNF800"	"ZNF800"	71	-1.25	0.21	0.645	NA	"TROVE2, TCEA3, ALG10B, TWISTNB, + 50 genes"
"ZNF614"	"ZNF614"	44	-1.25	0.21	0.645	NA	"ZNF772, ZNF626, ZNF136, PAPOLG, + 30 genes"
"ZFP3"	"ZFP3"	44	-1.26	0.209	0.645	NA	"CLDN7, GOLGA7B, RIMKLA, C17orf80, + 19 genes"
"TCF4"	"TCF4"	63	-1.26	0.209	0.645	NA	"TMEM45B, FRY, MAPRE2, ADPRH, + 30 genes"
"TBP"	"TBP"	40	-1.26	0.206	0.645	NA	"MBD1, MSANTD2, CLCN6, ZNF530, + 20 genes"
"ADNP"	"ADNP"	50	-1.27	0.206	0.645	NA	"ODF3B, EP400, SPIN1, RPGRIP1L, + 41 genes"
"ZNF547"	"ZNF547"	39	-1.27	0.206	0.645	NA	"TBCC, HIC2, ADCY10P1, THOC1, + 20 genes"
"NR4A3"	"NR4A3"	28	-1.27	0.205	0.645	NA	"ADAMTS1, NR4A2, SNAI1, MYADM, + 18 genes"
"CEBPZ"	"CEBPZ"	90	-1.27	0.204	0.645	NA	"EIF3J, SLC30A5, MSH6, POT1, + 71 genes"
"MLXIP"	"MLXIP"	56	-1.27	0.204	0.645	NA	"CELF1, ZBTB40, EIF4A2, ZHX3, + 19 genes"
"ZNF75A"	"ZNF75A"	82	-1.27	0.202	0.645	NA	"LEAP2, PAX8, HEXB, ZNF22, + 49 genes"
"ZMYM4"	"ZMYM4"	31	-1.27	0.202	0.645	NA	"RPGRIP1L, TRADD, ZNF616, POLD4, + 19 genes"
"ZNF395"	"ZNF395"	102	-1.28	0.201	0.645	NA	"HARBI1, ERBB3, EIF1B, ERMAP, + 51 genes"
"RXRA"	"RXRA"	65	-1.28	0.201	0.645	NA	"PPP1R26-AS1, NFIC, IP6K1, WDR5, + 28 genes"
"ELK4"	"ELK4"	241	-1.28	0.201	0.645	NA	"YTHDF3-AS1, ACTR2, ARFIP2, PLPPR4, + 149 genes"
"THAP12"	"THAP12"	38	-1.29	0.198	0.645	NA	"MED25, SLC29A2, VAMP1, TWISTNB, + 23 genes"
"RC3H2"	"RC3H2"	78	-1.29	0.198	0.645	NA	"INTS2, C1orf35, ACADVL, MRPL2, + 59 genes"
"ZNF138"	"ZNF138"	54	-1.3	0.194	0.638	NA	"EPOP, HUS1, PDLIM4, PNPT1, + 34 genes"
"HOXA3"	"HOXA3"	27	-1.3	0.194	0.638	NA	"PCDHB7, ADRA2A, GRIN2D, TNFSF10, + 9 genes"
"ZNF516"	"ZNF516"	61	-1.3	0.193	0.638	NA	"NDUFA9, BNIP1, MRPL22, KDM5B, + 35 genes"
"ZNF793"	"ZNF793"	34	-1.3	0.192	0.638	NA	"ZNF587, ZNF439, ZNF594, NAA16, + 16 genes"
"HMBOX1"	"HMBOX1"	63	-1.3	0.192	0.638	NA	"CLDN7, CCNDBP1, LINC00852, TTC34, + 18 genes"
"TWIST1"	"TWIST1"	58	-1.31	0.19	0.637	NA	"BAALC, AP3D1, GEM, PCOLCE, + 15 genes"
"BMPR1A"	"BMPR1A"	25	-1.31	0.189	0.636	NA	"EHBP1L1, FXYD5, BIRC5, ALDH18A1, + 13 genes"
"MIER1"	"MIER1"	43	-1.32	0.188	0.636	NA	"MFSD14B, RNF168, ARL5B, ACTR2, + 33 genes"
"REL"	"REL"	151	-1.32	0.188	0.636	NA	"MAST4, COX6C, TMEM125, NFKBIL1, + 108 genes"
"ZNF589"	"ZNF589"	65	-1.33	0.184	0.634	NA	"SOX4, BBS4, UGDH-AS1, EPHA2, + 40 genes"
"ZXDB"	"ZXDB"	167	-1.34	0.182	0.628	NA	"TCIRG1, UHRF1BP1L, C4orf48, RDX, + 117 genes"
"ZNF423"	"ZNF423"	46	-1.34	0.181	0.628	NA	"LDB3, BTN2A3P, JAM3, EBF2, + 16 genes"
"ZKSCAN8"	"ZKSCAN8"	52	-1.34	0.18	0.628	NA	"ORMDL2, ZNF827, ZNF585B, KMT2D, + 39 genes"
"ZNF518A"	"ZNF518A"	113	-1.34	0.18	0.628	NA	"OTUD7A, PLIN3, ATG7, RPS6KB1, + 75 genes"
"SKI"	"SKI"	74	-1.35	0.178	0.626	NA	"ALKBH3, PET117, C18orf21, TIMM8A, + 41 genes"
"ZBTB40"	"ZBTB40"	87	-1.35	0.177	0.626	NA	"SUMO2, KMT2D, PEA15, DERA, + 49 genes"
"ZNF546"	"ZNF546"	59	-1.35	0.176	0.624	NA	"PAXBP1-AS1, CXXC4, MCMDC2, ZNF441, + 37 genes"
"LRRFIP2"	"LRRFIP2"	145	-1.36	0.175	0.623	NA	"MPC1, SERPINA1, MYRF, MAST3, + 93 genes"
"ZXDC"	"ZXDC"	66	-1.36	0.175	0.623	NA	"TTI1, ISG15, TP73-AS1, LEPROTL1, + 33 genes"
"ARNT"	"ARNT"	27	-1.37	0.171	0.622	NA	"SMOX, C4orf48, DNAJC1, CERS2, + 17 genes"
"ARID4A"	"ARID4A"	89	-1.37	0.17	0.622	NA	"PRELID1, ATP5MC1, RUFY2, TOMM40, + 68 genes"
"NFYA"	"NFYA"	66	-1.37	0.17	0.622	NA	"MRPL52, HLX, LAMTOR4, COX4I1, + 46 genes"
"ZBTB26"	"ZBTB26"	78	-1.38	0.168	0.62	NA	"ERI2, C17orf80, DCAF17, FAN1, + 52 genes"
"SIX4"	"SIX4"	84	-1.38	0.167	0.619	NA	"PITHD1, ZDHHC13, SULT1A1, EIF4EBP3, + 32 genes"
"ZFP30"	"ZFP30"	30	-1.39	0.166	0.619	NA	"ZNF223, ZNF264, ZNF566, SEPSECS, + 20 genes"
"KMT2A"	"KMT2A"	111	-1.4	0.163	0.614	NA	"MALSU1, MAST4, COX6C, C16orf95, + 75 genes"
"ZSCAN29"	"ZSCAN29"	25	-1.4	0.162	0.614	NA	"TSSK4, TSTD2, CLIC1, CD320, + 16 genes"
"CREBRF"	"CREBRF"	28	-1.4	0.162	0.614	NA	"CHIC1, ZMYND11, RPS6KA4, ZC3H6, + 15 genes"
"NR2F1"	"NR2F1"	50	-1.4	0.161	0.614	NA	"IFIT1, SLC48A1, PSTPIP2, COL6A3, + 18 genes"
"HIVEP2"	"HIVEP2"	67	-1.41	0.159	0.614	NA	"COPS7B, RNF169, DPM3, MAP3K20, + 55 genes"
"ZNF45"	"ZNF45"	110	-1.41	0.158	0.614	NA	"NT5C2, DNAJC14, FAN1, RPL28, + 79 genes"
"FOXO3"	"FOXO3"	51	-1.41	0.158	0.614	NA	"BNIP1, RYBP, UROS, PREB, + 36 genes"
"SP3"	"SP3"	183	-1.41	0.158	0.614	NA	"RAD21, PIK3C2A, TIFA, SRM, + 157 genes"
"ZNF660"	"ZNF660"	28	-1.41	0.158	0.614	NA	"PPP1R10, RTCA, SPINK2, SMAD3, + 11 genes"
"ZFP2"	"ZFP2"	45	-1.42	0.155	0.614	NA	"ZNF577, ZNF204P, SGMS1-AS1, ZNF343, + 26 genes"
"FOXJ3"	"FOXJ3"	121	-1.42	0.155	0.614	NA	"POMP, HECTD4, SCO2, ZNF318, + 88 genes"
"NFATC3"	"NFATC3"	100	-1.42	0.155	0.614	NA	"FUT10, SLC30A4, FTO, PAQR6, + 57 genes"
"MXD1"	"MXD1"	71	-1.42	0.155	0.614	NA	"RORA, LCMT1, ZNF622, CPNE8, + 36 genes"
"ZNF354A"	"ZNF354A"	35	-1.42	0.154	0.614	NA	"HESX1, C7orf31, ZNF77, ZNF182, + 16 genes"
"ZMYM2"	"ZMYM2"	70	-1.43	0.152	0.614	NA	"PKN1, PES1, DDT, RPL8, + 50 genes"
"ZNF154"	"ZNF154"	48	-1.44	0.151	0.614	NA	"SARS, PKN1, MYSM1, RRS1, + 31 genes"
"ATF7"	"ATF7"	29	-1.44	0.15	0.614	NA	"SNTB2, MIATNB, FTO, ICK, + 12 genes"
"BCL11B"	"BCL11B"	52	-1.44	0.149	0.614	NA	"CPXM1, KEL, HS3ST3B1, CD6, + 38 genes"
"ZNF484"	"ZNF484"	28	-1.44	0.149	0.614	NA	"MRPL4, NSUN5, RBM41, EIF3G, + 21 genes"
"ZNF652"	"ZNF652"	81	-1.45	0.148	0.614	NA	"TRIM26, LAMB3, TRERF1, CLDN7, + 31 genes"
"KLF5"	"KLF5"	103	-1.45	0.147	0.614	NA	"ARL5B, PITHD1, FITM2, TES, + 43 genes"
"ZSCAN25"	"ZSCAN25"	63	-1.45	0.146	0.614	NA	"BHLHB9, PRDM11, ZSCAN32, CKLF, + 32 genes"
"FOSB"	"FOSB"	42	-1.46	0.145	0.614	NA	"KLF2, RABGGTB, EXT1, BTG2, + 25 genes"
"ZNF644"	"ZNF644"	111	-1.46	0.144	0.614	NA	"VPS36, RBCK1, ZNF253, RAD21, + 93 genes"
"ZNF280D"	"ZNF280D"	55	-1.46	0.143	0.614	NA	"BHLHB9, ZNF674, ZNF333, SLC25A36, + 37 genes"
"ZNF248"	"ZNF248"	62	-1.47	0.143	0.614	NA	"TRAF3IP2-AS1, RIMKLB, KLHDC1, WDR93, + 38 genes"
"ZNF24"	"ZNF24"	43	-1.47	0.143	0.614	NA	"CHIC1, TBCK, MPP5, STX4, + 32 genes"
"MTF1"	"MTF1"	79	-1.47	0.141	0.614	NA	"RPL28, ATP6V1G1, AZI2, ARF5, + 58 genes"
"MSC"	"MSC"	97	-1.47	0.141	0.614	NA	"IL32, DOK2, NYNRIN, SNX12, + 58 genes"
"PLAGL2"	"PLAGL2"	68	-1.48	0.14	0.614	NA	"CHD2, CMC2, ATP5PD, EMC3, + 36 genes"
"ZBTB1"	"ZBTB1"	42	-1.48	0.139	0.614	NA	"VPS50, CAPNS1, RBM41, INTS2, + 32 genes"
"ZNF611"	"ZNF611"	63	-1.48	0.138	0.614	NA	"ARPC4, WDR83OS, TMEM203, TAB3, + 43 genes"
"ZNF236"	"ZNF236"	105	-1.49	0.137	0.614	NA	"PCBD1, BRK1, SQOR, MTR, + 76 genes"
"ATF2"	"ATF2"	109	-1.49	0.136	0.614	NA	"ATP8B1, FAM199X, SH2D3A, NUP85, + 85 genes"
"ZEB2"	"ZEB2"	109	-1.49	0.136	0.614	NA	"PRKAR2B, ADAM19, TMEM273, PTGS1, + 67 genes"
"ZNF845"	"ZNF845"	54	-1.5	0.134	0.614	NA	"ZSCAN20, PRR7, NME3, ZNF816, + 39 genes"
"ZNF141"	"ZNF141"	44	-1.5	0.133	0.614	NA	"ZNF721, ZNF615, CFL1, ZNF236, + 29 genes"
"MYBL1"	"MYBL1"	59	-1.51	0.132	0.614	NA	"WDFY4, C5orf34, ARHGAP9, FAM129C, + 36 genes"
"FOXN3"	"FOXN3"	135	-1.51	0.132	0.614	NA	"IFT22, SPRYD4, HSD17B7, TMEM9B, + 90 genes"
"ETV3"	"ETV3"	51	-1.51	0.132	0.614	NA	"KLF3, C19orf53, COA4, EMC9, + 37 genes"
"SMAD1"	"SMAD1"	111	-1.51	0.131	0.614	NA	"TMEM222, SPATA2L, INAFM1, KIAA1109, + 67 genes"
"ZNF471"	"ZNF471"	26	-1.51	0.13	0.614	NA	"MAATS1, ZNF518A, CCDC191, ZBTB26, + 11 genes"
"ZNF140"	"ZNF140"	27	-1.52	0.128	0.614	NA	"ZCCHC8, MED6, KIAA0895, MED7, + 16 genes"
"ZNF333"	"ZNF333"	42	-1.52	0.128	0.614	NA	"ORMDL2, CAPRIN2, ZNF345, GAS2, + 28 genes"
"KLF7"	"KLF7"	130	-1.53	0.127	0.614	NA	"CSNK1G3, EEF2KMT, WDR25, ZEB1, + 83 genes"
"CRAMP1"	"CRAMP1"	47	-1.53	0.126	0.614	NA	"RAD52, RABIF, ZNF343, ZNF530, + 27 genes"
"ZC3H8"	"ZC3H8"	73	-1.53	0.125	0.614	NA	"RIC8B, MARC2, TTC41P, WWC2-AS2, + 46 genes"
"ARID5B"	"ARID5B"	211	-1.54	0.123	0.614	NA	"SLC6A6, COX6C, PIGH, CRYL1, + 95 genes"
"SMAD4"	"SMAD4"	62	-1.54	0.123	0.614	NA	"RIN3, DCAF16, MPP5, TLR2, + 39 genes"
"TFDP1"	"TFDP1"	103	-1.54	0.123	0.614	NA	"TRIM58, HIPK4, MCM6, TMEM98, + 68 genes"
"ZNF438"	"ZNF438"	82	-1.55	0.12	0.614	NA	"TSGA10, ZNF541, AP4S1, ASCC3, + 41 genes"
"ZNF331"	"ZNF331"	28	-1.56	0.119	0.614	NA	"CHMP1B, BHLHB9, GPRASP1, PLAG1, + 15 genes"
"ZNF91"	"ZNF91"	45	-1.56	0.119	0.614	NA	"ZNF253, BHLHB9, ZNF573, ZNF626, + 31 genes"
"GABPA"	"GABPA"	43	-1.56	0.118	0.614	NA	"LYPLA1, LPCAT2, FGFR1OP2, TICAM1, + 33 genes"
"PEG3"	"PEG3"	339	-1.56	0.118	0.614	NA	"CNST, PINK1-AS, USP19, ZHX3, + 204 genes"
"ZNF292"	"ZNF292"	83	-1.57	0.117	0.614	NA	"LAMTOR4, RBM41, ZNF320, ZNF701, + 71 genes"
"SMAD2"	"SMAD2"	95	-1.57	0.116	0.614	NA	"NUBPL, FAM98A, SPACA6, ACADL, + 62 genes"
"ZNF600"	"ZNF600"	41	-1.57	0.116	0.614	NA	"TBX21, PEX19, BSDC1, ST3GAL3, + 18 genes"
"ZNF541"	"ZNF541"	37	-1.58	0.115	0.614	NA	"ATIC, LINC01508, ANKLE2, WDR93, + 13 genes"
"MGA"	"MGA"	130	-1.58	0.115	0.614	NA	"ZMYM4, PPIA, PKN1, RPL8, + 109 genes"
"OVOL1"	"OVOL1"	38	-1.58	0.114	0.614	NA	"FAM102A, PTPRF, C2CD2, TSPAN6, + 21 genes"
"TEAD4"	"TEAD4"	88	-1.58	0.113	0.614	NA	"BAHD1, TNFSF15, RIMKLA, LTF, + 41 genes"
"GATA3"	"GATA3"	45	-1.58	0.113	0.614	NA	"TGIF1, FNDC5, FCHO1, PHKA2, + 23 genes"
"SMAD3"	"SMAD3"	158	-1.59	0.112	0.614	NA	"KLF5, FGFR1, PTPRF, CREB3L1, + 84 genes"
"ZNF143"	"ZNF143"	66	-1.61	0.107	0.614	NA	"HS1BP3, DNAJC30, EEF2KMT, MEX3C, + 49 genes"
"ZNF569"	"ZNF569"	92	-1.62	0.106	0.614	NA	"MVP, THUMPD1, MTMR4, TGFB1I1, + 63 genes"
"ZNF25"	"ZNF25"	32	-1.62	0.104	0.614	NA	"FERMT2, ZNF585A, NAA25, YTHDC1, + 21 genes"
"SOX15"	"SOX15"	57	-1.62	0.104	0.614	NA	"ABHD1, TP73-AS1, THOC1, GTF2IRD2B, + 27 genes"
"ZNF639"	"ZNF639"	56	-1.64	0.101	0.614	NA	"TTYH3, KCTD18, PCNX3, UBE2V2, + 34 genes"
"NFXL1"	"NFXL1"	149	-1.64	0.1	0.614	NA	"GPR180, HECTD4, RDX, LPCAT4, + 107 genes"
"ZXDA"	"ZXDA"	78	-1.66	0.0976	0.614	NA	"ARPC4, CALCOCO2, NUTF2, FANK1, + 58 genes"
"GLI2"	"GLI2"	130	-1.68	0.0936	0.598	NA	"ATP5F1B, MRPS36, ATP6V1D, ATP5MC3, + 68 genes"
"AR"	"AR"	52	-1.68	0.0926	0.598	NA	"DEPDC1B, TNRC6C, FAM184A, RIPOR3, + 26 genes"
"ZNF658"	"ZNF658"	50	-1.68	0.0923	0.598	NA	"VASN, SLC46A1, LMNA, FAM13A, + 38 genes"
"ZNF765"	"ZNF765"	26	-1.69	0.091	0.597	NA	"ZNF468, USP46-AS1, ZNF616, TRPM7, + 19 genes"
"ZEB1"	"ZEB1"	97	-1.69	0.091	0.597	NA	"EBF2, SACS, EBF1, C14orf119, + 40 genes"
"ZNF225"	"ZNF225"	39	-1.69	0.0909	0.597	NA	"CLDN7, ZNF594, ZKSCAN7, PAPOLG, + 26 genes"
"ZNF521"	"ZNF521"	34	-1.7	0.09	0.597	NA	"TCF7L1, JAM3, S100A14, ZEB1, + 14 genes"
"ZNF684"	"ZNF684"	75	-1.71	0.0876	0.592	NA	"C10orf143, B4GALT5, TCEANC, MKRN2, + 37 genes"
"ZFP62"	"ZFP62"	92	-1.71	0.087	0.592	NA	"FBXO36, COA7, ANO5, NUBPL, + 66 genes"
"THAP9"	"THAP9"	130	-1.71	0.0869	0.592	NA	"WHAMMP3, LRRC6, ZBTB2, ICAM1, + 79 genes"
"MYC"	"MYC"	38	-1.73	0.0842	0.583	NA	"LINC00639, GLIPR1, SOCS3, FGF18, + 21 genes"
"BACH2"	"BACH2"	85	-1.73	0.0834	0.582	NA	"AMACR, DSE, ARHGAP30, LINC00467, + 48 genes"
"ZNF445"	"ZNF445"	30	-1.73	0.0832	0.582	NA	"CLIC1, TRIM9, ZBTB1, EIF2B3, + 19 genes"
"ZNF568"	"ZNF568"	45	-1.73	0.0828	0.582	NA	"ATXN7L3B, ZNF585B, GLRX, IRAK1BP1, + 35 genes"
"ZNF33B"	"ZNF33B"	44	-1.74	0.0827	0.582	NA	"NMB, TUSC3, ZNF616, OPHN1, + 21 genes"
"TBPL1"	"TBPL1"	93	-1.74	0.0823	0.582	NA	"CHIC2, KIF1C, FTH1P12, RAB11FIP5, + 58 genes"
"ZBTB21"	"ZBTB21"	103	-1.74	0.0821	0.582	NA	"IKBKE, TBCB, CLIC1, C14orf119, + 83 genes"
"ZBTB37"	"ZBTB37"	31	-1.76	0.0782	0.581	NA	"ZNF573, ZNF333, CLDN7, ZNF594, + 19 genes"
"ZNF396"	"ZNF396"	96	-1.76	0.0782	0.581	NA	"TCTN1, IL4R, WWTR1-AS1, LOH12CR2, + 72 genes"
"ZKSCAN7"	"ZKSCAN7"	43	-1.79	0.0738	0.567	NA	"RRAGC, S100A14, MICU1, RNF187, + 22 genes"
"MLLT1"	"MLLT1"	51	-1.79	0.0737	0.567	NA	"NUDT16, LINC00982, FOXP1, TCTN1, + 27 genes"
"FOXF2"	"FOXF2"	34	-1.8	0.0715	0.559	NA	"PLCL2, MED14OS, ATXN2L, PDZD4, + 12 genes"
"NR3C2"	"NR3C2"	56	-1.8	0.0715	0.559	NA	"SPINDOC, CDK2AP1, ABI3, UCP2, + 36 genes"
"RLF"	"RLF"	91	-1.81	0.0708	0.559	NA	"ZFP28, PTPA, FERMT2, PRSS8, + 79 genes"
"SMAD9"	"SMAD9"	181	-1.81	0.0697	0.559	NA	"MROH6, MAPKAPK2, ZHX3, WFS1, + 122 genes"
"ZBED4"	"ZBED4"	90	-1.82	0.0684	0.554	NA	"SNU13, FBXO7, DNAJB2, SCAMP5, + 48 genes"
"ZHX3"	"ZHX3"	75	-1.83	0.0678	0.554	NA	"EPHB1, TFCP2L1, MICALL2, OPHN1, + 47 genes"
"RBAK"	"RBAK"	32	-1.83	0.0667	0.55	NA	"ZNF594, THUMPD1, TBCEL, ZFP3, + 20 genes"
"ZNF782"	"ZNF782"	129	-1.85	0.064	0.538	NA	"WDR93, SKIV2L, MVP, THUMPD1, + 69 genes"
"ZNF37A"	"ZNF37A"	74	-1.86	0.0629	0.534	NA	"DCAF17, EML6, KIAA0895, VASP, + 55 genes"
"NFE2L2"	"NFE2L2"	84	-1.86	0.0628	0.534	NA	"RRAS2, ABHD5, TMEM150A, NFATC4, + 73 genes"
"ZNF354C"	"ZNF354C"	35	-1.87	0.0622	0.534	NA	"ZNF615, ZNF236, ZNF507, ZNF112, + 24 genes"
"ZNF559"	"ZNF559"	37	-1.87	0.0614	0.534	NA	"ZBTB49, ITGA2B, CFAP57, TK2, + 22 genes"
"ZNF431"	"ZNF431"	188	-1.88	0.0606	0.534	NA	"RPN1, SYT14, MTAP, MBP, + 85 genes"
"TRERF1"	"TRERF1"	178	-1.88	0.0599	0.534	NA	"IGBP1, STK4, SH3KBP1, ASS1, + 91 genes"
"TERF1"	"TERF1"	137	-1.89	0.0589	0.529	NA	"PKN1, BRD2, NT5C2, GOPC, + 106 genes"
"PRDM2"	"PRDM2"	61	-1.9	0.0571	0.527	NA	"AGO3, DROSHA, EDRF1, ZNF137P, + 47 genes"
"IKZF5"	"IKZF5"	41	-1.9	0.0569	0.527	NA	"GTPBP10, C2CD5, ZNF189, ALG10B, + 33 genes"
"ZNF281"	"ZNF281"	64	-1.91	0.0561	0.527	NA	"FUT4, SPINT1-AS1, RFX7, ETV3, + 45 genes"
"THRB"	"THRB"	92	-1.92	0.0555	0.527	NA	"CCDC189, TSPAN18, ABHD5, KCNN2, + 51 genes"
"ZNF708"	"ZNF708"	36	-1.95	0.0515	0.503	NA	"ZNF253, ZNF626, ZNF594, PAPOLG, + 30 genes"
"EGR2"	"EGR2"	28	-1.95	0.051	0.503	NA	"MXD1, MCU, MAFB, AKAP12, + 19 genes"
"SRF"	"SRF"	53	-1.95	0.0507	0.503	NA	"RPGR, TENT5B, CCNL1, BMP2, + 28 genes"
"TSC22D2"	"TSC22D2"	97	-1.98	0.0474	0.485	NA	"MXD1, ING4, CTGF, ALG8, + 77 genes"
"NFATC2"	"NFATC2"	42	-1.99	0.0462	0.478	NA	"DOCK2, RAB25, DENND3, TRERF1, + 30 genes"
"TFCP2L1"	"TFCP2L1"	178	-1.99	0.0461	0.478	NA	"MDK, MXRA8, ISOC1, SRGAP2, + 114 genes"
"TFAP2A"	"TFAP2A"	67	-2	0.0459	0.478	NA	"CCPG1, GPR132, TMEM9B, TMEM106C, + 25 genes"
"ZNF480"	"ZNF480"	145	-2	0.0456	0.478	NA	"FSTL3, RTN2, PHF13, KCP, + 93 genes"
"ZSCAN21"	"ZSCAN21"	52	-2.01	0.0447	0.478	NA	"DPY19L2, FBXO15, ARMC2, TECTA, + 30 genes"
"ZKSCAN3"	"ZKSCAN3"	35	-2.02	0.0431	0.478	NA	"OGDHL, STRA6, ASAP3, TUSC3, + 18 genes"
"ID4"	"ID4"	142	-2.02	0.0431	0.478	NA	"FBXO15, NDUFA5, EPHB3, OSCP1, + 97 genes"
"HSF2"	"HSF2"	32	-2.03	0.0425	0.478	NA	"ALG6, ZNF738, INSIG2, ATP6V0A1, + 20 genes"
